Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
FAGUNDES,00735018,2,38,FAGUNDES,PARAÍBA,SUDENE,-7.35,-35.8,1962/07/01,1993/12/31,32,4.2,27,15.6
CRUZ DO ESPÍRITO SANTO,00735019,2,38,CRUZ DO ESPÍRITO SA,PARAÍBA,DNOCS,-7.15,-35.0833,1911/01/01,1990/05/31,80,38.8,38,52.5
CAMPINA GRANDE,00735024,2,38,CAMPINA GRANDE,PARAÍBA,DNOCS,-7.2167,-35.8667,1962/07/01,1968/09/30,7,2.7,4,42.9
CAMPINA GRANDE,00735025,2,38,CAMPINA GRANDE,PARAÍBA,INMET,-7.2167,-35.8833,1963/02/02,1984/12/31,22,24.6,5,77.3
CAMPINA GRANDE,00735026,2,38,CAMPINA GRANDE,PARAÍBA,SUDENE,-7.2167,-35.8667,1910/10/01,1985/12/31,76,13.2,60,21.1
BODOCONGO,00735028,2,38,BOQUEIRÃO,PARAÍBA,AESA-PB,-7.5333,-35.9833,1933/06/01,1994/02/28,62,2.9,55,11.3
AROEIRAS,00735029,2,38,AROEIRAS,PARAÍBA,AESA-PB,-7.5167,-35.6833,1962/07/01,2018/12/31,57,4.0,49,14.0
ALAGOA NOVA,00735030,2,38,ALAGOA NOVA,PARAÍBA,DNOCS,-7.0667,-35.7833,1911/01/01,1993/10/31,83,5.6,71,14.5
ALAGOA GRANDE,00735033,2,38,ALAGOA GRANDE,PARAÍBA,AESA-PB,-7.05,-35.6333,1910/10/01,2018/12/31,109,28.7,73,33.0
ACAU,00735035,2,38,PILAR,PARAÍBA,SUDENE,-7.1167,-35.35,1962/07/01,1994/02/28,33,3.7,29,12.1
PONTE DA BATALHA,00735036,2,38,SANTA TERESINHA,PARAÍBA,ANA,-7.13,-35.0475,1969/12/24,2019/11/30,51,1.0,43,15.7
ALGODÃO DO MANSO (DNOCS),00735037,2,39,FREI MIGUELINHO,PERNAMBUCO,SUDENE,-7.9667,-35.8833,1962/12/01,1994/12/31,33,0.8,30,9.1
ALIANÇA (PARAGUAÇU),00735038,2,39,ALIANÇA,PERNAMBUCO,SUDENE,-7.5833,-35.2,1963/01/01,1993/02/28,31,0.0,30,3.2
BIZARRA,00735040,2,39,BOM JARDIM,PERNAMBUCO,SUDENE,-7.7333,-35.4833,1967/04/01,1988/12/31,22,4.6,19,13.6
BOM JARDIM,00735041,2,39,BOM JARDIM,PERNAMBUCO,DNOCS,-7.8,-35.5833,1911/08/01,1993/05/31,83,2.6,75,9.6
BUENOS AIRES,00735045,2,39,BUENOS AIRES,PERNAMBUCO,SUDENE,-7.7833,-35.3667,1967/04/01,1993/01/31,27,0.3,24,11.1
CARPINA (FLORESTA DOS LEÕES),00735046,2,39,CARPINA,PERNAMBUCO,DNOCS,-7.85,-35.25,1934/02/01,1989/06/30,56,15.5,37,33.9
CONDADO (GOIANINHA),00735048,2,39,CONDADO,PERNAMBUCO,SUDENE,-7.5833,-35.1,1963/01/01,1993/02/28,31,1.4,27,12.9
ENGENHO CARRAPATO,00735049,2,39,LAGOA DO ITAENGA,PERNAMBUCO,SUDENE,-7.9167,-35.2833,1967/10/01,1976/07/31,10,0.0,8,20.0
ENGENHO SÍTIO,00735050,2,39,SÃO LOURENÇO DA MAT,PERNAMBUCO,ANA,-7.9681,-35.1567,1967/04/01,2019/11/30,53,3.1,44,17.0
FEIRA NOVA (JARDIM),00735051,2,39,FEIRA NOVA,PERNAMBUCO,SUDENE,-7.95,-35.35,1967/10/01,1975/12/31,9,4.1,7,22.2
GOIANA,00735052,2,39,GOIANA,PERNAMBUCO,INMET,-7.5667,-35.0,1911/08/10,1970/12/31,60,37.1,29,51.7
GOIANA CAMPO EXPERIMENTAL,00735055,2,39,GOIANA,PERNAMBUCO,SUDENE,-7.5667,-35.0,1963/01/01,1970/11/30,8,50.5,0,100.0
ITAQUITINGA (AREIAS),00735056,2,39,ITAQUITINGA,PERNAMBUCO,SUDENE,-7.6667,-35.1,1967/04/01,1991/04/30,25,1.4,20,20.0
LIMOEIRO,00735058,2,39,LIMOEIRO,PERNAMBUCO,DNOCS,-7.8667,-35.4667,1911/08/01,1978/08/31,68,51.9,24,64.7
LIMOEIRO,00735059,2,39,LIMOEIRO,PERNAMBUCO,SUDENE,-7.8667,-35.4667,1911/08/01,1978/08/31,68,52.7,24,64.7
MACAPARANA (DNOCS),00735060,2,39,MACAPARANA,PERNAMBUCO,SUDENE,-7.55,-35.45,1963/01/01,1992/10/31,30,5.1,24,20.0
MACHADOS,00735061,2,39,MACHADOS,PERNAMBUCO,SUDENE,-7.6833,-35.5167,1963/01/01,1993/05/31,31,0.6,28,9.7
NAZARÉ DA MATA,00735062,2,39,NAZARÉ DA MATA,PERNAMBUCO,SUDENE,-7.7333,-35.2333,1926/06/01,1990/07/31,65,61.1,17,73.8
